"detailedSheetLink href","ad-overview-details__ad-title","ad-overview-details__address-title","ad-price__the-price","ad-price__price-per-square-meter","importDescriptionDecorator"
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2005108?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 2 pièces 31 m²","83200 Toulon (Saint-Roch)","79 000 €","2 548 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/6pieces/immo-facile-60099821?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 6 pièces 158 m²","83000 Toulon (Place d'Armes)","575 000 €","3 639 €/m²","06 19 60 73 60"
"https://www.bienici.com/annonce/vente/toulon/maison/6pieces/hektor-gustonimmobilier-5248?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Maison 6 pièces 165 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","830 000 €","5 030 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lessablettes-390476?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 4 pièces 63 m²","83000 Toulon (Saint-Roch)","170 000 €","2 698 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/netty-company38777ezz-appt-5363?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 71 m²","83000 Toulon (Brunet)","199 900 €","2 798 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-centreville-390274?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 2 pièces 42 m²","83200 Toulon (Saint-Roch)","177 500 €","4 226 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-2018296?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 5 pièces 82 m²","83100 Toulon (Font Pré)","180 000 €","2 195 €/m²","06 73 83 71 57"
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag311656-514769414?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 4 pièces 75 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","480 000 €","6 400 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/apimo-86749154?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 5 pièces 84 m²","83000 Toulon (Aguillon)","270 000 €","3 220 €/m²","0760201974"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016673?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 65 m²","83200 Toulon (Valbertrand)","185 000 €","2 846 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2016080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 2 pièces 54 m²","83200 Toulon (Pont du Las)","115 000 €","2 130 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016359?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 62 m²","83000 Toulon (Saint-Roch)","155 500 €","2 508 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939432601?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 70 m²","83200 Toulon","159 900 €","2 284 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-atlasimmobilier-390510?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 4 pièces 92 m²","83200 Toulon (L'Escaillon)","265 000 €","2 880 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-1463_EXPERTIMO22-268715?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 68 m²","83000 Toulon (Aguillon)","256 250 €","3 742 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-366222?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 53 m²","83200 Toulon (Pont du Las)","149 000 €","2 811 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/6pieces/hektor-happy051017-2248?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 6 pièces 160 m²","83200 Toulon (Ubac - Dardennes - Barbasse - Mont Faron)","625 000 €","3 906 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-grechimmo83250-95480?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 56 m²","83100 Toulon (Darboussèdes)","129 000 €","2 318 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-133373?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 2 pièces 40 m²","83100 Toulon (La Serinette - La Barre)","200 000 €","5 000 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-centreville-128208?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 5 pièces 130 m²","83000 Toulon (Champs-de-Mars)","371 000 €","2 854 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1615125?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 80 m²","83000 Toulon (La Serinette - La Barre)","258 000 €","3 064 €/m²","0652866215"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/immo-facile-60158692?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 65 m²","83200 Toulon (Pont du Las)","209 000 €","3 215 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/dr-house-immo-1-6133325?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 5 pièces 121 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","665 000 €","5 496 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/ag440414-516981647?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 4 pièces 82 m²","83200 Toulon (La Chapelle - Saint-André)","520 000 €","6 341 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP954862A?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 65 m²","83000 Toulon (Champs-de-Mars)","125 000 €","1 938 €/m²","https://www.citya.com/agences-immobilieres/toulon-83137/154"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag311656-516895547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 69 m²","83100 Toulon (Pont de Suve)","179 000 €","2 594 €/m²","06.24.36.15.62"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-2247_EXPERTIMO22-266652?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 61 m²","83000 Toulon (La Rode)","145 000 €","2 213 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-2247_EXPERTIMO22-271249?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 2 pièces 40 m²","83200 Toulon (Saint-Roch)","229 000 €","5 771 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lessablettes-390442?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 4 pièces 65 m²","83200 Toulon (Saint-Roch)","160 000 €","2 462 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/ag440414-516800714?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 4 pièces 100 m²","83200 Toulon (L'Escaillon)","459 000 €","4 400 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/ag440414-516800717?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 5 pièces 102 m²","83200 Toulon (La Chapelle - Saint-André)","630 000 €","6 176 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag835636-516642044?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 2 pièces 52 m²","83000 Toulon (Centre-ville)","124 000 €","2 385 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/9pieces/immo-facile-60146903?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 9 pièces 223 m²","83000 Toulon (La Serinette - La Barre)","900 000 €","4 036 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-agencedelavenir-7431?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 2 pièces 47 m²","83000 Toulon (Centre-ville)","125 000 €","2 678 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/netty-company38777ezz-house-2710?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Maison 5 pièces 93 m²","83000 Toulon (Pont de Bois)","385 000 €","4 140 €/m²","jean-marc.fouquet@loffice-immo.com"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-390626?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 3 pièces 74 m²","83000 Toulon (Haute-ville)","290 000 €","3 919 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3567?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement 4 pièces 75 m²","83200 Toulon (Rodeilhac)","230 000 €","3 067 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1997147?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Duplex 2 pièces 50 m²","83100 Toulon (La Palasse)","299 000 €","5 980 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/mapetiteagence-608466?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33","Appartement neuf 2 pièces 41 m²","83100 Toulon (Pont de Suve)","220 011 €","5 366 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-2018296?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 5 pièces 82 m²","83100 Toulon (Font Pré)","180 000 €","2 195 €/m²","06 73 83 71 57"
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag311656-514769414?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 4 pièces 75 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","480 000 €","6 400 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/apimo-86749154?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 5 pièces 84 m²","83000 Toulon (Aguillon)","270 000 €","3 220 €/m²","0760201974"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016673?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 65 m²","83200 Toulon (Valbertrand)","185 000 €","2 846 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2016080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 2 pièces 54 m²","83200 Toulon (Pont du Las)","115 000 €","2 130 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016359?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 62 m²","83000 Toulon (Saint-Roch)","155 500 €","2 508 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939432601?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 70 m²","83200 Toulon","159 900 €","2 284 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-atlasimmobilier-390510?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 4 pièces 92 m²","83200 Toulon (L'Escaillon)","265 000 €","2 880 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-1463_EXPERTIMO22-268715?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34","Appartement 3 pièces 68 m²","83000 Toulon (Aguillon)","256 250 €","3 742 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag755942-473333747?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 59 m²","83000 Toulon (Place d'Armes)","230 000 €","3 771 €/m²",""
"https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/4pieces/safti-1-1473929?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 4 pièces 150 m²","83200 Toulon (La Chapelle - Saint-André)","659 000 €","4 393 €/m²","0668408259"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1828680?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 100 m²","83200 Toulon (Ubac - Dardennes - Barbasse - Mont Faron)","290 000 €","2 900 €/m²",""
"https://www.bienici.com/annonce/viager/toulon/appartement/5pieces/iad-france-1812582?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 5 pièces 132 m²","83000 Toulon (Sainte-Anne)","219 000 €","",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939218674?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 54 m²","83200 Toulon","130 000 €","2 424 €/m²","04 94 22 24 40"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1793594?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 72 m²","83200 Toulon (Bon Rencontre)","205 000 €","2 847 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939113098?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 60 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","210 000 €","3 500 €/m²","Email:toulonlemourillon@nestenn.com"
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1777292?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 5 pièces 137 m²","83200 Toulon (Valbertrand)","530 000 €","3 869 €/m²",""
"https://www.bienici.com/annonce/vente-de-prestige/toulon/appartement/6pieces/hektor-GTIGPI-27457?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 6 pièces 175 m²","83000 Toulon (Haute-ville)","598 000 €","3 417 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1780412?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 2 pièces 40 m²","83000 Toulon (Le Cap Brun - Le Petit Bois)","215 000 €","5 375 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/ag835481-462277949?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 5 pièces 123 m²","83100 Toulon (Saint-Jean du Var)","349 000 €","2 837 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/7pieces/twimmo-2010497?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 7 pièces 128 m²","83100 Toulon (Brunet)","420 000 €","3 281 €/m²","04.94.46.27.27"
"https://www.bienici.com/annonce/vente/toulon/maison/7pieces/hektor-centreville-382503?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 7 pièces 280 m²","83200 Toulon (Barbès)","899 000 €","3 211 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-383772?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 72 m²","83100 Toulon (Sainte-Musse)","172 000 €","2 389 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/twimmo-1999605?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 61 m²","83000 Toulon (Saint-Roch)","120 000 €","1 953 €/m²","04 94 00 56 56"
"https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1738153?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 1 pièce 46 m²","83100 Toulon (Saint-Jean du Var)","99 000 €","2 152 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1730773?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 4 pièces 104 m²","83200 Toulon (Valbertrand)","514 000 €","4 808 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-icietla83-34965?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 78 m²","83200 Toulon (Valbourdin)","353 400 €","4 295 €/m²","06 08 42 18 92"
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/hektor-igprestige-470?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Maison 4 pièces 60 m²","83000 Toulon (Le Cap Brun - Le Petit Bois)","680 000 €","11,3k €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_2305_3169?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 67 m²","83200 Toulon (Pont du Las)","224 000 €","3 343 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-375140?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 3 pièces 86 m²","83000 Toulon (Porte d'Italie)","190 000 €","2 209 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99938927204?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 2 pièces 54 m²","83000 Toulon","199 000 €","3 685 €/m²","04.94.62.44.24"
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-2_GRECHTOULON2023-103547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 2 pièces 52 m²","83000 Toulon (Centre-ville)","110 000 €","2 115 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-grechimmo83000-103547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32","Appartement 2 pièces 52 m²","83000 Toulon (Centre-ville)","110 000 €","2 115 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-royalimmolavaletteduvar-30153?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 2 pièces 53 m²","83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue)","299 000 €","5 613 €/m²",""
"https://www.bienici.com/annonce/vente-de-prestige/toulon/appartement/3pieces/hektor-agencemistral83-165?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 3 pièces 71 m²","83200 Toulon (Siblas)","370 000 €","5 028 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag832760-489220802?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 2 pièces 33 m²","83200 Toulon (Saint-Roch)","55 000 €","1 667 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1907076?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Maison 5 pièces 126 m²","83000 Toulon (La Loubière)","549 000 €","4 357 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/6pieces/ag743447-488463059?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Maison 6 pièces 150 m²","83200 Toulon (Ubac - Dardennes - Barbasse - Mont Faron)","618 000 €","4 120 €/m²",""
"https://www.bienici.com/annonce/viager/toulon/appartement/6pieces/hektor-11_GRECHTOULON2023-112533?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 6 pièces 224 m²","83100 Toulon (Darboussèdes)","150 000 €","","https://youtu.be/U-4o5CXCY9Y"
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1897305?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 4 pièces 78 m²","83200 Toulon (Valbertrand)","247 000 €","3 167 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/safti-1-1522784?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Maison 5 pièces 130 m²","83200 Toulon (Pont du Las)","379 000 €","2 915 €/m²","06 46 52 45 29"
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-centreville-387671?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31","Appartement 2 pièces 50 m²","83000 Toulon (Porte d'Italie)","145 000 €","2 900 €/m²",""
